UID;Frage;Antwort;Subject;Zusatzangaben;Tausch;Phase;Eingabedatum;DueDate
29;accommodate;unterbringen / entgegenkommen;Business English 1;;;4;04.11.13;28.01.14
30;acerca de     Que opinas tu acerca del incidente?;hinsichtlich     Was sagst Du zu dem Vorfall?;El arte de empezar;;;6;21.05.17;
31;acoger a alguien     acogido     El proyecto piloto fue acogido muy bien por los participantes.;jmdn. aufnehmen     begrüßt;El arte de empezar;;;5;20.01.18;02.03.19
32;acomodar     Me pueden acomodar por una semana?;in Ordnung bringen / unterbringen;El arte de empezar;;swapped;6;21.05.17;
33;act of good / force majeure;höhere Gewalt;Business English 2;;swapped;2;11.03.15;09.06.15
34;actually;tatsächlich;Business English 1;;swapped;6;04.11.13;
35;adapt;anpassen;Business English 1;;;5;01.12.13;19.03.16
36;a direct guarantee;eine selbstschuldnerische Bürgschaft;Business English 2;;swapped;3;11.03.15;17.06.15
37;Admita tus errores;Gib deine Fehler zu;Malaga 2018;;;5;29.03.18;12.01.19
38;Adónde vais?;Wohin geht ihr?;Español Gramática;;;3;18.02.18;13.03.18
39;Adónde vais? y con quién?;Wohin geht ihr? und mit wem?;Malaga 2018;;;5;29.03.18;12.01.19
40;advice of despatch;Versandanzeige;Business English 1;;swapped;3;12.01.14;30.12.15
41;aficionarse a     sin saber cómo, me aficioné a las islas Canarias;sich begeistern für   ;ECOS Español;;;6;06.01.18;
42;afrontar algo;etwas bewältigen;El arte de empezar;;;6;21.05.17;
43;after all;immerhin;Business English 1;;swapped;4;01.12.13;15.02.14
44;agenda;Tagesordnung;Business English 2;;swapped;3;11.03.15;16.01.18
45;Ahí se habla español desde hace 500 años.;Dort spricht man seit 500 Jahren Spanisch.;Español Gramática;;;4;10.02.18;30.03.18
46;a horas intempestivas;zu ungelegenden Zeiten;ECOS Español;;;1;04.11.18;04.11.18
47;ahorrar  los ahorros  ahorrativo;sparen  die Ersparnisse  sparsam;Malaga 2018;;;5;29.03.18;07.12.18
48;A Julian le alegre de que yo pueda venir.;Julian freut es, dass ich kommen kann.;Español Gramática;;;3;18.02.18;13.03.18
49;Akkreditive (Instrument zur Zahlungssicherung);letters of credit;Business English 1;;swapped;4;04.11.13;26.01.14
50;aktuell;current;Business English 1;;swapped;4;04.11.13;26.01.14
51;a la inversa;umgekehrt;El arte de empezar;;;4;20.01.18;01.01.19
52;alentar el consumo;den Konsum fördern;El arte de empezar;;swapped;6;21.05.17;
53;al fin y al cabo;letztendlich;ECOS Español;;;6;06.01.18;
54;algo que merece la pena;etwas was den Schmerz wert ist;El arte de empezar;;;6;21.05.17;
55;Alle ausführenden Arbeiten und die Arbeitssicherheitsbestimmungen waren Ihnen bei Vertragsabschluss bekannt..;All works to be executed and works safety regulations were known by you when the contract was signed / concluded..;Business English 2;;;1;11.03.15;11.03.15
56;Alleinlieferant;single source supplier / sole supplier;Business English 2;;;5;11.03.15;01.06.18
57;Alle Mädchen sind hier.;Todas las chicas están aquí.;Español Gramática;;;4;10.02.18;30.03.18
58;alle ziehen am gleichen Strang;todos tiran de la misma cuerda;El arte de empezar;;swapped;2;02.12.18;05.12.18
59;All works to be executed and works safety regulations were known by you when the contract was signed / concluded..;Alle ausführenden Arbeiten und die Arbeitssicherheitsbestimmungen waren Ihnen bei Vertragsabschluss bekannt..;Business English 2;;swapped;3;11.03.15;16.01.18
60;alquilar algo a algien;vermieten;Malaga 2018;;;5;29.03.18;12.01.19
61;alrededor;rund herum;El arte de empezar;;swapped;6;21.05.17;
62;als bisher;than to date;Business English 1;;;1;01.12.13;06.01.18
63;älter/ jünger sein als;ser mayor/ menor que;ECOS Español;;;6;04.02.18;
64;altruistic;menschenfreundlich  uneigennutz;Business English 1;;;5;01.12.13;06.04.18
65;A Marta le gusta mucho ir al teatro.;Marta gefällt es sehr ins Theater zu gehen.;Español Gramática;;;4;10.02.18;30.03.18
66;ambiguity;Zweideutigkeit;Business English 1;;;2;06.01.14;19.01.14
67;ámbito de aplicación;Anwendungsbereich     auch: Geltungsbereich;El arte de empezar;;swapped;6;20.01.18;
68;ambos;beide;El arte de empezar;;;6;21.05.17;
69;amendments;changes;Business English 1;;swapped;2;06.01.14;21.01.14
70;am Freitag  (jetzt) bis Freitag;by friday  until friday;Business English 1;;;1;01.12.13;20.12.15
71;A mi me da igual...;Mir ist das egal...;Malaga 2018;;;5;29.03.18;07.12.18
72;ampliar el horizonte     ¿Le gustaría ampliar sus horizontes profesionales y adquirir nuevas experiencias?;den Horizont erweitern;El arte de empezar;;;6;20.01.18;
73;Am Vormittag gehe ich in die Schule.;Por la mañana voy al instituto.;Español Gramática;;;4;10.02.18;30.03.18
74;an accomplished manager;ein vollständiger Manager;Business English 1;;swapped;4;01.12.13;15.02.14
75;Ana le escribe un SMS a Jorge.;Ana schreibt eine SMS an Jorge.;Español Gramática;;swapped;4;10.02.18;30.03.18
76;Ana schreibt eine SMS an Jorge.;Ana le escribe un SMS a Jorge.;Español Gramática;;;4;10.02.18;30.03.18
77;ändern;change, modify, alter, amend;Business English 2;;;2;11.03.15;10.06.15
78;Änderungen;modifications;Business English 1;;;5;04.11.13;16.04.14
79;anfitrión / anfitriona     la empresa anfitriona;Gastgeber;El arte de empezar;;swapped;5;20.01.18;02.03.19
80;Anfrage;enquiery;Business English 1;;;2;12.01.14;21.01.14
81;Anfrage;inquiery;Business English 2;;;2;11.03.15;09.01.18
82;Anfragen;enquiries;Business English 1;;swapped;4;04.11.13;27.01.14
83;angehen / in Angriff nehmen;encarar     La Argentina decidió encarar una reforma militar.;ECOS Español;;swapped;1;04.11.18;04.11.18
84;angehören;pertenecer;El arte de empezar;;;6;21.05.17;
85;angenehme Gschäftsbeziehung;pleasant business relations;Business English 1;;;4;01.12.13;13.02.14
86;angesehen als;regarded as;Business English 1;;swapped;5;04.11.13;06.04.18
87;Angst haben vor dem Fliegen / Höhen;tener miedo a alturas / volar;Malaga 2018;;swapped;5;29.03.18;12.01.19
88;Anmerkung;annotation;Business English 2;;;1;11.03.15;20.12.15
89;Anmerkung;annotation / remark;Business English 2;;;3;11.03.15;16.01.18
90;annotation;Anmerkung;Business English 2;;swapped;3;11.03.15;17.06.15
91;annotation / remark;Anmerkung;Business English 2;;swapped;3;11.03.15;16.01.18
92;anpassen;adapt;Business English 1;;swapped;4;01.12.13;13.02.14
93;Anrufbeantworteransage;document of title;Business English 1;;;4;01.12.13;17.02.14
94;an sich;as such;Business English 2;;swapped;1;11.03.15;11.03.15
95;anstelle von;en lugar de;El arte de empezar;;swapped;6;21.05.17;
96;Anweisung;instruction;Business English 2;;;2;11.03.15;09.01.18
97;Anwendungsbereich     auch: Geltungsbereich;ámbito de aplicación;El arte de empezar;;;6;20.01.18;
98;Anzahlung;deposit;Business English 1;;swapped;4;04.11.13;15.02.14
99;apagar la luz;das Licht ausschalten;El arte de empezar;;;6;21.05.17;
100;aplastar a algo     Apple quería aplastar a Microsoft.;etwas zertrümmern;El arte de empezar;;;6;21.05.17;
101;appointment;geschäftl. Termin;Business English 1;;swapped;3;12.01.14;28.01.14
102;apreciado por     Es una montaña muy apreciada por los montañistas;geschätzt von;ECOS Español;;;1;04.11.18;04.11.18
103;A que te dedicas?     dedicarse a algien / algo;Was widmest du dich?     sich jmdn. / etw. widmen;Malaga 2018;;;5;29.03.18;12.01.19
104;a qué velocidad     Por dónde deben circular y a qué velocidad?;mit welcher Geschwindigkeit;ECOS Español;;;1;04.11.18;04.11.18
105;Are there staggered prices for ...;Gibt es Staffelpreise für verschiedene Artikel?;Business English 2;;swapped;2;11.03.15;23.12.15
106;Are you being served?;Werden sie bedient?;Business English 1;;;4;04.11.13;28.01.14
107;arrear;Verzug;Business English 1;;;5;04.11.13;19.03.16
108;artificial food additives;künstliche Zusatzstoffe;Business English 1;;;4;12.01.14;05.02.18
109;Asegúrese de que funcionan los medios audiovisuales que va a usar.;Versichern Sie sich, dass die Medien, die Sie nutzen werden, funktionieren.;Español Gramática;;;3;04.03.18;06.12.18
110;asequible     En Málaga vio la posibilidad de mudarse a una ciudad similar a Barcelona, pero más asequible y menos masificada.;bezahlbar;ECOS Español;;;1;04.11.18;04.11.18
111;as such;an sich;Business English 2;;;3;11.03.15;16.01.18
112;asustar a algien     El precio alto asusta a muchos interesentes.;jmdn. abschrecken / erschrecken     Der hohe Preis schreckt viele Interessenten ab.;El arte de empezar;;;6;21.05.17;
113;aterrizar     Nada más aterrizar, salían hacia sus verdaderos destinos vacacionales.;landen;ECOS Español;;;1;04.11.18;04.11.18
114;attached / enclosed you will find;beigefügt (im Anhang);Business English 1;;swapped;5;04.11.13;19.03.16
115;auf diese Weise;thus;Business English 2;;;1;11.03.15;20.12.15
116;auf eine Forderung verzichten;to waive a request;Business English 2;;;1;11.03.15;11.03.15
117;auf etw. aufmerksam werden/ jdn. kontaktieren;get in touch with;Business English 1;;swapped;4;04.11.13;26.01.14
118;auf etw. bestehen  wenn Substantiv folgen kann +ing;insist on sth.  (hearing from you);Business English 1;;;4;01.12.13;17.02.14
119;auf etwas zählen;contar con     Además se necesita contar con el apoyo del jefe.;El arte de empezar;;swapped;5;20.01.18;02.03.19
120;auffällig;significant;Business English 2;;;2;11.03.15;09.01.18
121;aufs Thema zurückkommen;come back on a topic;Business English 1;;swapped;2;06.01.14;21.01.14
122;Auftraggeber;principal;Business English 2;;;1;11.03.15;06.01.18
123;Auftragsbestätigung;order confirmation / confirmation of order;Business English 2;;;2;11.03.15;10.06.15
124;aufzählen;enumerar     Primero enumeramos los razones para reducir los emisiones.;Español Gramática;;;2;04.03.18;08.03.18
125;Aún no he escojido;Ich habe noch nicht ausgewählt;Malaga 2018;;;5;29.03.18;12.01.19
126;Aún no he hablado con ella.;Noch habe ich nicht mit ihr geredet.;Español Gramática;;swapped;5;10.02.18;24.02.19
127;ausentar     Los empleados se podrán ausentar de sus puestos de trabajo durante un periodo de hasta tres meses.;fernbleiben;El arte de empezar;;;5;20.01.18;02.03.19
128;ausfüllen;cumplimentar     un formulario cumplimentado;El arte de empezar;;swapped;3;20.01.18;12.12.18
129;Ausgaben;expenses;Business English 2;;;2;11.03.15;23.12.15
130;ausgeben  Ausgaben;gastar  los gastos;El arte de empezar;;;6;21.05.17;
131;ausgeschlossen sein;estar descartado/a;ECOS Español;;swapped;1;04.11.18;04.11.18
132;Ausrede;foul excuse;Business English 1;;swapped;1;01.12.13;06.01.18
133;ausschließlich, lediglich;mere;Business English 1;;;3;06.01.14;28.01.14
134;Ausschreibung;invitation to tender;Business English 1;;swapped;2;12.01.14;21.01.14
135;ausstellen;exhibit;Business English 1;;;5;01.12.13;06.04.18
136;ausüben, ertragen;to bear;Business English 1;;swapped;2;06.01.14;21.01.14
137;auswählen;escojer;El arte de empezar;;;6;21.05.17;
138;available from stock;ab Lager lieferbar;Business English 1;;;4;04.11.13;28.01.14
139;averiguar     Una buena opción para averiguar qué significa una carrera internacional.;herausfinden     auch: ermitteln;El arte de empezar;;;6;20.01.18;
140;avisar a alguien     La app Sina te avisa cuando haya una urgencia cerca de tí.;jmdn. informieren;Malaga 2018;;;5;29.03.18;12.01.19
141;Bankbürgschaft;bank guarantee;Business English 2;;;1;11.03.15;20.12.15
142;bank guarantee;Bankbürgschaft;Business English 2;;swapped;3;11.03.15;30.12.15
143;bank transfer  transferal;Überweisung;Business English 1;;;5;04.11.13;19.03.16
144;Bar / in Raten zahlen;pagar al contado / a plazos;Malaga 2018;;swapped;3;29.03.18;12.12.18
145;Bar / mit Karte zahlen;pagar en efectivo / con tarjeta;Malaga 2018;;swapped;5;29.03.18;07.12.18
146;Barzahlungsrabatt;cash discount;Business English 2;;;2;11.03.15;10.06.15
147;Baustelle / Verrichtungsort;construction site;Business English 2;;;1;11.03.15;11.03.15
148;Bauteil;component;Business English 2;;;3;11.03.15;17.06.15
149;beantragen     angefordert;solicitar     solicitado;El arte de empezar;;swapped;6;20.01.18;
150;beaufragt  bestellen     Für meinen Geburtstag bestelle ich immer einen DJ.;encargado  encargar     Siempre encargo un DJ para mis cumpleaños.;El arte de empezar;;;6;21.05.17;
151;beauftragen;entrust;Business English 1;;;4;01.12.13;15.02.14
152;bedauerlicherweise;desgraciadamente;El arte de empezar;;swapped;6;21.05.17;
153;Bedingungen;conditions;Business English 2;;;2;11.03.15;09.06.15
154;beenden   Beenden wir die Woche mit einem Bier.;cesar     Cesamos la semana con una cerveza.     No cesemos la semana así.;El arte de empezar;;swapped;5;21.05.17;02.03.19
155;befristeter Vertrag;limited contract;Business English 1;;;3;12.01.14;28.01.14
156;beginnen /eröffnen;entablar     entablar contactos / negociaciones;El arte de empezar;;swapped;3;20.01.18;12.12.18
157;beide;ambos;El arte de empezar;;swapped;6;21.05.17;
158;beigefügt (im Anhang);attached / enclosed you will find;Business English 1;;;1;04.11.13;20.12.15
159;being satisfied with / by;zufrieden sein mit;Business English 2;;swapped;4;11.03.15;05.02.18
160;bekannt als;renowned as;Business English 1;;;4;01.12.13;13.02.14
161;beneidenswert   ;envidiable     Los vendedores son grandes ejemplos de una actitud envidiable.;Malaga 2018;;swapped;4;18.08.18;25.12.18
162;berichtigen;enmendar     Enmendame (tu) /  Enmendeme (usted) si hago errores.;El arte de empezar;;swapped;6;21.05.17;
163;bescheiden   Bescheidenheit;humilde/ modesto     la humilidad;Español Gramática;;swapped;1;04.03.18;26.11.18
164;besondere Umstände;special / particular circumstances;Business English 2;;;2;11.03.15;10.06.15
165;besser/ schlechter sein als;ser mejor/ peor que;ECOS Español;;;6;04.02.18;
166;B es tan caro como M.;B ist so teuer wie M.;ECOS Español;;swapped;6;04.02.18;
167;bestätigt;confirmed;Business English 1;;swapped;5;04.11.13;14.04.14
168;bestehen auf;insist on;Business English 2;;;2;11.03.15;10.06.15
169;bestehen auf;empeñarse en     Steve Jobs se empeñó en soló entregar productos perfectos.;El arte de empezar;;swapped;2;12.11.17;05.12.18
170;Bestimmung;stipulation;Business English 1;;swapped;2;06.01.14;19.01.14
171;bestraft werden;ser castigado     Tres días más tarde, el desafortunado regresa a Guadix con las manos vacías y es castigado por su fracaso con baldazos de pintura;ECOS Español;;swapped;6;06.01.18;
172;Betriebsstoffe;consumables;Business English 2;;;1;11.03.15;06.01.18
173;beunruhigt / verlegen;turbado     Puede darse el caso de que lo haya turbado con la cuestión del alcoholismo.;ECOS Español;;swapped;2;06.01.18;07.11.18
174;bezahlbar;asequible     En Málaga vio la posibilidad de mudarse a una ciudad similar a Barcelona, pero más asequible y menos masificada.;ECOS Español;;swapped;1;04.11.18;04.11.18
175;bezüglich;concerning;Business English 1;;swapped;5;04.11.13;19.03.16
176;bezüglich     sobald;en cuanto a     en cuanto (tenga);Malaga 2018;;swapped;3;29.03.18;12.12.18
177;binding;verbindlich;Business English 1;;swapped;2;12.01.14;19.01.14
178;Bin ich zu langsam?;Voy demasiado despacio?;Español Gramática;;swapped;3;04.03.18;06.12.18
179;Bis heute hat Lea mich nicht angerufen.;Hasta hoy Lea no me ha llamado.;Español Gramática;;swapped;3;18.02.18;13.03.18
180;B ist so teuer wie M.;B es tan caro como M.;ECOS Español;;;6;04.02.18;
181;Bitte, machen Sie Notizen.;Por favor, tomen nota.;Español Gramática;;swapped;3;04.03.18;20.03.18
182;bleibt Ihnen überlassen;left up to your discretion;Business English 1;;;2;06.01.14;21.01.14
183;bloß, lediglich, nur;merely;Business English 2;;swapped;1;11.03.15;11.03.15
184;bottleneck;Flaschenhals (= Engpass);Business English 1;;;4;04.11.13;28.01.14
185;Briefumschlag;envelope;Business English 1;;;5;01.12.13;06.04.18
186;brindar algo a alguien;jmdn. etwas bieten;El arte de empezar;;swapped;6;21.05.17;
187;Bringst du mir...? Ich brings dir.;Me traes...? Te lo llevo.;Malaga 2018;;;5;29.03.18;12.01.19
188;Bringst du mir einen Saft?     Ja, jetzt bringe ich dir einen.;¿Me traes un zumo?     Sí, ahora te llevo uno.;ECOS Español;;swapped;6;04.02.18;
189;bürgen;guarantee  stand security;Business English 2;;;1;11.03.15;20.12.15
190;Búscala.;Such sie.;Español Gramática;;;4;10.02.18;30.03.18
191;by friday  until friday;am Freitag  (jetzt) bis Freitag;Business English 1;;swapped;4;01.12.13;17.02.14
192;byro;Kugelschreiber;Business English 1;;;5;01.12.13;19.03.16
193;caer (ind)     yo caigo  tú caes  el cae  ns caemos  vs caéis  ellos caen;caí, caiste, cayó;Malaga 2018;;;5;29.03.18;12.01.19
194;caerse;umfallen;El arte de empezar;;;6;21.05.17;
195;cambiar por otra talla     devolver por dinero;umtauschen gegen eine andere Größe  umtauschen gegen Geld;Malaga 2018;;;5;29.03.18;12.01.19
196;can't really afford;sich nicht leisten können;Business English 1;;swapped;4;01.12.13;15.02.14
197;cancel;stornieren;Business English 2;;swapped;2;11.03.15;10.06.15
198;Can I take it as read?;Kann ich das abschließen?;Business English 1;;;4;06.01.14;05.02.18
199;capture and refund of all costs;Erfassung & Erstattung aller Kosten;Business English 1;;;1;01.12.13;20.12.15
200;cargar su móvil;sein Handy aufladen;Malaga 2018;;;5;29.03.18;12.01.19
201;Carsten hat Angst, dass ich es vergesse.;Carsten tiene miedo de que yo lo olvide.;Español Gramática;;swapped;3;18.02.18;13.03.18
202;Carsten tiene miedo de que yo lo olvide.;Carsten hat Angst, dass ich es vergesse.;Español Gramática;;;3;18.02.18;13.03.18
203;cash discount;Barzahlungsrabatt;Business English 2;;swapped;3;11.03.15;16.01.18
204;cerebro;Gehirn;El arte de empezar;;;6;21.05.17;
205;cesar     Cesamos la semana con una cerveza.     No cesemos la semana así.;beenden   Beenden wir die Woche mit einem Bier.;El arte de empezar;;;6;21.05.17;
206;change, modify, alter, amend;ändern;Business English 2;;swapped;3;11.03.15;16.01.18
207;changes;amendments;Business English 1;;;4;06.01.14;19.01.16
208;Chris acaba de salir.;Chris ist gerade weggegangen.;Español Gramática;;;3;18.02.18;13.03.18
209;Chris ist gerade weggegangen.;Chris acaba de salir.;Español Gramática;;swapped;1;18.02.18;26.11.18
210;CIF (Lieferant zahlt bis CIF Standpunkt);Cost Insurance Freight;Business English 1;;;5;04.11.13;19.03.16
211;circulate;verteilen;Business English 1;;swapped;5;01.12.13;19.03.16
212;claim / request;Forderungen stellen;Business English 2;;swapped;2;11.03.15;22.03.15
213;claim for damages;Schadensersatz fordern;Business English 2;;swapped;4;11.03.15;19.01.16
214;come back on a topic;aufs Thema zurückkommen;Business English 1;;;3;06.01.14;28.01.14
215;Como decía antes...;Wie ich bereits sagte...;Español Gramática;;;3;04.03.18;06.12.18
216;Como habíamos dicho anteriormente, nuestra empresa se fundó en 2015.;Wie wir vorhin gesagt haben, wurde unsere Firma 2015 gegründet.;Español Gramática;;;4;04.03.18;26.12.18
217;Como les decía al principio...;Wie ich zu Anfang sagte...;Español Gramática;;;2;04.03.18;08.03.18
218;compensation;Entschädigung;Business English 2;;swapped;2;11.03.15;09.01.18
219;comperatively;vergleichsweise;Business English 1;;;4;04.11.13;26.01.14
220;component;Bauteil;Business English 2;;swapped;2;11.03.15;10.06.15
221;Comprende que quiere la otra persona por preguntar mucho;Verstehe was die andere Person möchte, indem du viel fragst;Malaga 2018;;;5;29.03.18;12.01.19
222;conceder     merecer     Siempre me han concedido un mérito muy superior al que merezco.;genehmigen     verdienen;Malaga 2018;;;5;18.08.18;02.03.19
223;concerning;bezüglich;Business English 1;;;5;04.11.13;19.03.16
224;concession;Zulassung, Erlaubnis;Business English 1;;;4;04.11.13;27.01.14
225;condescent;herabwürdigen;Business English 1;;swapped;2;04.11.13;21.01.14
226;conditions;Bedingungen;Business English 2;;swapped;2;11.03.15;09.06.15
227;confeccionar;schneidern;El arte de empezar;;;6;21.05.17;
228;Confío en que iniciemos pronto nuestras operaciones en Buenos Aires.;Ich bin zuversichtlich, dass wir bald unseren Betrieb in Buenos Aires aufnehmen.;Español Gramática;;;3;04.03.18;06.12.18
229;confirmed;bestätigt;Business English 1;;;4;04.11.13;26.01.14
230;congelar     me congeló la risa y estuve a punto de echarme a llorar;einfrieren;ECOS Español;;;6;06.01.18;
231;Conoces a algien aquí?     No, a nadie.;Kennst du hier jemanden?     Nein, keinen.;ECOS Español;;;6;04.02.18;
232;Con quién sales?;Mit wem gehst du?;Español Gramática;;;3;18.02.18;13.03.18
233;considerable deviation;erhebliche Abweichung;Business English 2;;swapped;2;11.03.15;09.01.18
234;construction site;Baustelle / Verrichtungsort;Business English 2;;swapped;3;11.03.15;16.01.18
235;consumables;Betriebsstoffe;Business English 2;;swapped;2;11.03.15;09.06.15
236;contact draft;Vertragsentwurf;Business English 1;;swapped;3;12.01.14;28.01.14
237;contar con     Además se necesita contar con el apoyo del jefe.;auf etwas zählen;El arte de empezar;;;6;20.01.18;
238;contract stipulations;Vertragsbestimmung;Business English 1;;swapped;3;12.01.14;28.01.14
239;contractual parties;Vertragsparteien;Business English 2;;swapped;4;11.03.15;05.02.18
240;contradiction;Widerspruch;Business English 1;;swapped;3;12.01.14;28.01.14
241;contradiction;Widerspruch;Business English 2;;swapped;3;11.03.15;16.01.18
242;contribuir (ind)     yo contribuyo;yo contribuí, el contribuyó;Malaga 2018;;;5;29.03.18;12.01.19
243;convenver     Steve Jobs convenció Woz de comercializar su invenciones.;überreden;Español Gramática;;;2;04.03.18;08.03.18
244;Cost Insurance Freight;CIF (Lieferant zahlt bis CIF Standpunkt);Business English 1;;swapped;4;04.11.13;26.01.14
245;Could you fill us in on the background to all this, please?;Könnten sie uns über den Hintergrund aufklären?;Business English 1;;swapped;4;01.12.13;17.02.14
246;could you fill us in on the background to this;könnten sie uns über den Hintergrund informieren;Business English 2;;swapped;3;11.03.15;13.03.18
247;credit note;Gutschrift;Business English 1;;swapped;2;12.01.14;21.01.14
248;credit or debit notes;Gut- & Lastschriften;Business English 1;;;4;04.11.13;28.01.14
249;Cuál es la ciudad más...;Welche Stadt ist die ...;Malaga 2018;;;5;29.03.18;12.01.19
250;Cuando interaccione con el público, mire a los ojos de la persona con la que habla.;Wenn Sie mit dem Publikum interagieren, schauen Sie der Person mit der sie reden in die Augen.;Español Gramática;;;2;04.03.18;08.03.18
251;Cuando prepare su presentación, tenga en cuenta la ropa que va a ponerse.;Wenn Sie sich auf ihre Präsentation vorbereiten, denken Sie an die Kleidung die Sie tragen werden.;Español Gramática;;;2;04.03.18;08.03.18
252;Cuando tenemos otoño en Europa, es primavera en Australia.;Wenn wir Europa Herbst haben, ist es Frühling in Australien.;Malaga 2018;;;5;08.04.18;12.01.19
253;culpar a alg.;jmdn. beschuldigen;El arte de empezar;;;6;21.05.17;
254;cumplimentar     un formulario cumplimentado;ausfüllen;El arte de empezar;;;6;20.01.18;
255;current;aktuell;Business English 1;;;4;04.11.13;27.01.14
256;customer / client;Kunde;Business English 2;;swapped;3;11.03.15;30.12.15
257;Dabei stehe ich hinter Ihnen;I am fully behind you on that;Business English 2;;;4;11.03.15;05.02.18
258;daily allowences;Tagesspesen;Business English 2;;swapped;2;11.03.15;06.03.18
259;damage in transit;Transportschaden;Business English 1;;swapped;3;12.01.14;28.01.14
260;damage in transit;Transportschäden;Business English 2;;swapped;3;11.03.15;30.12.15
261;damage in transport;Transportschäden;Business English 1;;swapped;4;01.12.13;17.02.14
262;damages     to sue somebody for damages;Schadensersatz;Business English 1;;;4;01.12.13;17.02.14
263;Dame!;Gib mir!;ECOS Español;;;6;04.02.18;
264;dankbar;grateful;Business English 1;;;1;01.12.13;20.12.15
265;Danke für deinen Besuch.;Gracias por tu visita.;ECOS Español;;swapped;6;04.02.18;
266;Danke für Ihr Interesse.;Gracias por su interés.;Español Gramática;;swapped;2;04.03.18;08.03.18
267;dann müssen Sie die Kosten für ... übernehmen;then you'll have to cover / bear pay for the costs for /of;Business English 2;;;3;11.03.15;30.12.15
268;darüber hinaus;moreover;Business English 1;;swapped;4;01.12.13;15.02.14
269;das Angebot  die Nachfrage;la oferta  la demanda;Malaga 2018;;swapped;5;29.03.18;12.01.19
270;das Datum     Welches Datum ist heute?;la fecha     Qué fecha es hoy?;El arte de empezar;;;6;12.11.17;
271;das Erstaunen     es erstaunt mich, dass;el asombro     me asombra que;El arte de empezar;;;6;21.05.17;
272;das Flugzeug ist schon abgeflogen     abheben /starten;el avión ya se despegó     despegarse;Malaga 2018;;swapped;5;29.03.18;07.12.18
273;das Gesicht;el rostro;El arte de empezar;;swapped;6;21.05.17;
274;das Glas;el vaso;ECOS Español;;swapped;5;18.02.18;02.02.19
275;das ist zu teuer;that is too expensive;Business English 2;;;2;11.03.15;22.03.15
276;das Kleid;el vestido;Malaga 2018;;swapped;2;29.03.18;05.12.18
277;das Licht anmachen     ausmachen;encender la luz     apagar la luz;Malaga 2018;;swapped;5;29.03.18;12.01.19
278;das Licht ausschalten;apagar la luz;El arte de empezar;;swapped;6;21.05.17;
